Occupation Type,ANZSCO Code,Sub-Profile Code,ANZSCO Title,ANZSCO Description
ANZSCO 6,313112,,ICT Customer Support Officer,"Provides support, education and guidance in the deployment and maintenance of computer infrastructure and the diagnosis and resolution of technical problems and issues. May work in a call centre."
ANZSCO 6,313113,,Web Administrator,"Designs, builds and maintains websites, and provides web technology solutions and services."
ANZSCO 6,321111,,Automotive Electrician,"Installs, maintains and repairs electrical wiring and electronic components in motor vehicles. Registration or licensing may be required."
ANZSCO 6,321211,,Motor Mechanic (General),"Maintains, tests and repairs petrol engines and the mechanical parts of lightweight motor vehicles such as transmissions, suspension, steering and brakes. Registration or licensing may be required."
ANZSCO 6,321212,,Diesel Motor Mechanic,"Maintains, tests and repairs diesel motors and the mechanical parts of trucks, buses and other heavy vehicles such as transmissions, suspension, steering and brakes. Registration or licensing may be required."
ANZSCO 6,321213,,Motorcycle Mechanic,"Maintains, tests and repairs the mechanical parts of motorcycles. Registration or licensing may be required."
ANZSCO 6,321214,,Small Engine Mechanic,"Maintains, tests and repairs engines of chainsaws, lawn mowers, garden tractors and other equipment with small engines. Registration or licensing may be required."
ANZSCO 6,322211,,Sheetmetal Trades Worker,"Marks out, shapes, forms and joins sheetmetal and other materials to make products and components."
ANZSCO 6,322311,,Metal Fabricator,Marks off and fabricates structural steel and other metal stock to make or repair metal products and structures such as boilers and pressure vessels.
ANZSCO 6,322313,,Welder (First Class),Fabricates and repairs metal products using various welding techniques.
ANZSCO 6,323111,,Aircraft Maintenance Engineer (Avionics),"Inspects, tests, aligns, repairs and installs aircraft electrical and avionic system components. Registration or licensing may be required."
ANZSCO 6,323112,,Aircraft Maintenance Engineer (Mechanical),"Inspects, tests, repairs and installs aircraft hydromechanical and flight system components and aircraft engines, subassemblies and components. Registration or licensing may be required."
ANZSCO 6,323211,,Fitter (General),Fits and assembles metal parts and subassemblies to fabricate production machines and other equipment.
ANZSCO 6,323214,,Metal Machinist (First Class),"Sets up and operates machine tools to shape and form metal stock and castings to fine tolerances, using detailed drawings and specifications."
ANZSCO 6,323311,,Engraver,"Inscribes letters, figures and designs on metal, glass, wood, rubber, plastic and other surfaces."
ANZSCO 6,323312,,Gunsmith,"Modifies, services and repairs rifles, revolvers and other firearms. Registration or licensing is required."
ANZSCO 6,323313,,Locksmith,Installs and maintains locks and related security devices and systems. Registration or licensing is required.
ANZSCO 6,323314,,Precision Instrument Maker and Repairer,"Assembles, calibrates, installs and overhauls mechanical precision instruments and equipment."
ANZSCO 6,323315,,Saw Doctor,"Repairs, sets and sharpens blades for circular, band and other saws."
ANZSCO 6,323316,,Watch and Clock Maker and Repairer,"Makes, repairs, cleans and adjusts watches and clocks."
